,BUSINESS_NAME,DBA_NAME,ZIP_CODE,LOCATION,zip
519,"NAT STORES GROUP, INC.",7-ELEVEN STORE #20545E | 7-ELEVEN STORE 20545E,90043-2815,"(33.9888, -118.3508)",90043
520,FRANCISCO J/DINA L GALLEGOS,FRANKS MARKET,90031-2329,"(34.079, -118.2144)",90031
521,JOSE BENITEZ,EL RECREO MARKET,90026-4819,"(34.072, -118.2735)",90026
522,THE OAKS GOURMET LLC,THE OAKS GOURMET LLC,90068-5601,"(34.1056, -118.318)",90068
523,SUNSET ELITE INC.,7-ELEVEN STORE 29261C,90028-7567,"(34.0977, -118.3431)",90028
524,ASHLEY NICOLE MARKET DEL AHORRO,ASHLEY NICOLE MARKET DEL AHORRO,90011-4568,"(33.9936, 33.9936)",90011
525,GLATT WESTERN KOSHER INC,GLATT WESTERN KOSHER,90036-1717,"(34.0792, -118.3614)",90036
526,MARIA E CAMPOS,L & M MARKET,90021-2042,"(34.0303, -118.245)",90021
527,COMMUNITY MINI MARKET LLC,MELVIN ADAMS,90044-2723,"(33.9839, 33.9839)",90044
528,GUADALUPE VELEZ,MI CHAPITA MINI MARKET,90037-4132,"(33.9903, -118.2783)",90037
529,AVILES SUPER MARKET INC,WALTER HERNAN ORELLANA,90037-2855,"(33.9999, -118.3)",90037
530,MARINA RUIZ GARRIDO,MARINA'S MINI MARKET,90003-1029,"(33.9797, -118.2826)",90003
531,TIMOTHY HAWKINS,NEIGHBORHOOD MARKETS,90003-4576,"(33.9434, -118.2783)",90003
532,A J 2 INC,7-ELEVEN 39560,90037-3760,"(33.9931, -118.2831)",90037
533,MRS WINSTONS GREEN GROCERY,MRS WINSTONS GREEN GROCERY,90067-4697,"(34.0586, -118.416)",90067
534,HEE SOON YOO,HEE SOON YOO,90065-2701,"(34.105, -118.2298)",90065
535,AURORA B DE JESUS,UNIVERSAL GROCERY AND DELI,90029-2411,"(34.0908, -118.299)",90029
536,NOHO BAZAAR LLC,MD ABDULLAHIL BAQUI,91606-,"(0.0, 0.0)",91606
537,"DH & K, INC.",PETE'S MARKET,90044-6417,"(33.9536, 33.9536)",90044
538,SURESH C/USHA JAIN,7-ELEVEN STORE 20580D,90035-2658,"(34.052, -118.3696)",90035
539,GLORIA M OROZCO,ANDRES MINI MARKET,90003-4223,"(33.9499, -118.2738)",90003
540,SACH CONVENIENCE STORES INC,7-ELEVEN STORE 37062A,90044-5248,"(33.9748, -118.2917)",90044
541,MILLION SIUM,LA GROCERY STORE,90062-1607,"(34.0037, -118.3089)",90062
542,JOHNEY BARGAIN INC,J&N BARGAIN,90029-2634,"(34.0908, -118.2955)",90029
543,NORMA ULLOA,CENTRAL STORE,90002-3318,"(33.9448, -118.2541)",90002
544,THE SOULA COLLECTIVE MARKET & KITCHEN,THE SOULA COLLECTIVE MARKET & KITCHEN,90008-3932,"(34.0034, -118.3227)",90008
545,HVM MARKET,HVM MARKET,90037-3023,"(34.0039, -118.2873)",90037
546,JOE'S MARKET INC,JOE'S MARKET INC.,90044-1734,"(33.9405, -118.2962)",90044
547,GELSON'S MARKETS,GELSON'S MARKETS,90027-3001,"(34.107, -118.2722)",90027
548,AHMED M AHMED,J/S MINI MARKET,90026-3170,"(34.0757, -118.2645)",90026
549,REGINA DEL CARMEN GOMEZ / MARIA MORALES,MARINA MARKET,90016-3059,"(34.0325, -118.3379)",90016
550,MARVIN HACKETT,MEGA WEST SMOKE SHOP MINI MART,90062-1635,"(34.0103, -118.3091)",90062
551,JAE KOO KIM,H. P. GROCERY MARKET,90003-2513,"(33.9701, -118.2739)",90003
552,DAVIDS MARKET INC.,LA MEXICANA,90011-4436,"(34.0, -118.2475)",90011
553,FREDDY HERRERA,KING PAYLESS MARKET,90044-3713,"(33.9872, -118.2916)",90044
554,ROSARIO MERINO,DAN-DON,90021-1819,"(34.035, -118.2483)",90021
555,CLAUDIA YANIRA HERNANDEZ/BRAULIO UBERA LOPEZ,SIMON'S TOBACCO SHOP & MORE,90003-3629,"(33.9551, -118.2782)",90003
556,SUNNY MARKET LLC,MAX CROWDER,90006-2505,"(34.0529, -118.2982)",90006
557,DARIO RODRIGUEZ,LOS 4 HERMANOS #2 MARKET,90011-2329,"(34.0148, -118.2686)",90011
558,AHSAN HAFEEZ,JONES MARKET,90003-3631,"(33.954, -118.2782)",90003
559,KAZI ABUL & PARIEN HOSSIAN,ABC MARKET,90031-3035,"(34.0694, -118.2142)",90031
560,OFELIA ROJAS,AMERICA'S MEAT MARKET,90011-1635,"(34.0196, -118.2543)",90011
561,SYED OMAIR IFTEKHAR,THE POD DISTRIBUTION,90013-1509,"(34.0472, -118.2439)",90013
562,WEST LA INTERNATIONAL MARKET /C,WEST LA INTERNATIONAL MARKET /C,90034-7103,"(34.0174, -118.4093)",90034
563,JORGE ALBERTO RAMOS,MUNCHIES HOOVER,90044-,"(0.0, 0.0)",90044
564,JERICO RICHARDSON,QUEEN'S SQUARE MARKET LIMITED LIABILITY COMPANY,90062-1609,"(34.011, -118.308)",90062
565,ORLANDO AMAYA/MARTA AMAYA,ROSIE'S DISCOUNT STORE,90019-6225,"(34.0399, -118.3177)",90019
566,GROW THE PRODUCE SHOP INC,GROW,90013-1812,"(34.0459, -118.2326)",90013
567,"ROYAL DELI MARKET, INC.",ROYAL DELI & SUNDRIES,90014-1402,"(34.0474, -118.2531)",90014
568,"VAQUEROS MARKET, INC.","VAQUEROS MARKET, INC.",90011-1189,"(34.0268, -118.2632)",90011
569,ANGELICA M GALENO,ANGELICA'S MARKET,90003-3810,"(33.9555, -118.2651)",90003
570,SALOME OREA REYES,DISCOUNT MINI MARKET,90037-2220,"(34.0084, -118.2783)",90037
571,TRADER JOE'S CO,TRADER JOE'S CO,90024-2908,"(34.0625, -118.444)",90024
572,KIM CHUNG LAM,NEIGHBORHOOD MARKET,90031-1418,"(34.0919, -118.204)",90031
573,REET ESTATE INC,UNO LIQUOR MARKET,90042-2027,"(34.1234, -118.1857)",90042
574,ALVARO MATEOS BRAVO,SUSANA'S MINI MARKET,90062-2829,"(33.993, -118.3045)",90062
575,FELIPE AVALOS,FELIPE MARKET,90011-5626,"(34.003, -118.2652)",90011
576,CLAUDIA SALGADO,SALGADOS PRODUCE,90032-3412,"(34.0707, -118.1758)",90032
577,BS MULTANI INC,FICKETT MARKET,90033-2515,"(34.0498, -118.2032)",90033
578,KRIS KIM LEE,ORO LIQUOR & MARKET,90020-3825,"(34.0689, -118.3097)",90020
579,MARIA ROMERO,EL RINCONCITO NO 1 CARNICERIA,90011-1436,"(34.0218, -118.2664)",90011
580,ESTEBAN M LOPEZ,EDEN L MARKET,90025-2706,"(34.0416, -118.4608)",90025
581,M & M SILVER OAKS /C,7-ELEVEN STORE #17635 | 7-ELEVEN STORE #17635E,90026-1310,"(34.0887, -118.2689)",90026
582,RALPHS GROCERY CO,FOOD 4 LESS #381,90006-5803,"(34.0421, -118.309)",90006
583,FLAVIO DE LOS SANTOS,EL TEPA 99 CENTS STORE,90023-3227,"(34.0188, -118.1912)",90023
584,DIMAS LINARES,DIMAS LINARES,90018-3017,"(34.0306, 34.0306)",90018
585,BRISTOL FARMS,BRISTOL FARMS,90045-2416,"(33.9609, -118.4201)",90045
586,ERNESTINA HERNANDEZ,MARCES MINI MARKET,90011-5643,"(34.008, -118.2652)",90011
587,THE COMMUNITY BODEGA,METRO MARKET,90006-4001,"(34.0475, -118.2868)",90006
588,MIRNA E RIVERA,LUCKY MINI MARKET,90047-2924,"(33.9603, -118.3118)",90047
589,AVALONS BEST MINI MARKET INC,AVALON'S MEAT MARKET,90003-4312,"(33.9482, -118.2655)",90003
590,MUNEEB MUJAHID LLC,A & S MARKET,90034-7109,"(34.0166, -118.4107)",90034
591,ANS MARKET INC,ANS MARKET INC,90003-4674,"(33.9459, -118.2743)",90003
592,LOS ANGELES MEMORIAL COLISEUM,LOS ANGELES MEMORIAL COLISEUM,90037-1200,"(34.0127, -118.2827)",90037
593,OCTAVIO HERNANDEZ,WASHINGTON MINI MARKET,90018-1252,"(34.0398, -118.3213)",90018
594,LOURDES GARCIA,ANITA'S MARKET,90003-2231,"(33.9747, -118.2688)",90003
595,SHOPPETTE FOOD GROUP LLC,THE CORNER STORE,90013-1814,"(34.0456, -118.2363)",90013
596,SALVADOR O GUZMAN,AVALON GARAGE,90003-3835,"(33.9528, -118.2651)",90003
597,ROOP ENTERPRISES INC,LA CIRCLE K,90023-3724,"(34.0185, 34.0185)",90023
598,MUHAMMED ARIF,7 ELEVEN STORE 20763C,90019-2576,"(34.0539, -118.3547)",90019
599,EK OM INC,7-ELEVEN STORE 39760A,90047-1119,"(33.9891, -118.3086)",90047
600,ROBERTO C NEPOMUCENO,SANTA ANA MINI MARKET,90011-3440,"(34.0038, -118.2679)",90011
601,CESAR MARTINEZ,LA GUATEMALTECA MARKET,90006-3910,"(34.0475, -118.3012)",90006
602,HEAP KIM HIM,JEANS MARKET,90033-2625,"(34.0498, -118.1984)",90033
603,LA TROPICANA MARKET INC,LA TROPICANA MARKET,90042-4015,"(34.1084, -118.201)",90042
604,"MERKEB, INC.",VENICE MARKET,90006-5519,"(34.0432, -118.2829)",90006
605,TAE J KIM,MUCHO EXTRA,90017-2115,"(34.0528, -118.2718)",90017
606,CHUTNEY CART,CHUTNEYNSPICE,90036-3128,"(34.0655, -118.3617)",90036
607,ARAYA GEBREBRHAN ARAYA/GENET DEBESSAI HAILE,48TH STREET,90043-1405,"(34.0, -118.3188)",90043
608,JUICEBAE,#JUICEBAE,90036-3122,"(34.0676, -118.3617)",90036
609,SIMPANG ASIA LLC,SIMPANG ASIA | SIMPANG ASIA LLC,90034-4681,"(34.0291, -118.4122)",90034
610,JEANNIE KIM CHUNG,CORONA MARKET INC,90033-3412,"(34.0466, -118.2168)",90033
611,LUIS A BONILLA,EL MIGUELENO MINI MARKET,90006-3915,"(34.0472, -118.2971)",90006
612,TRIPLE MMM INC,TRIPLE MMM INC,90013-1208,"(34.0503, -118.2482)",90013
613,JOSE J GOMEZ,JOSE J GOMEZ,90058-2008,"(34.0035, -118.2391)",90058
614,JOHNNY C CAGE III,FIRST ONE,90044-6165,"(33.9728, -118.2862)",90044
615,ELIDA CASTRO,DAVID'S MINI MARKET,90011-4940,"(33.9933, -118.2477)",90011
616,KRISHAN SINGH/SWARANJIT KAUR,K. S. BEER WINE MARKET,90032-2305,"(34.0851, -118.1659)",90032
617,MANUEL CUAHUTLE DUARTE,YASMIN MARKET & 99CENT,90037-2307,"(34.0031, -118.3001)",90037
618,MARUKAI CORPORATION,TOKYO CENTRAL,90012-3842,"(34.0505, -118.2419)",90012
619,SETAREH INC,STAR MARKET/DELI,90025-2516,"(34.0403, -118.4638)",90025
620,LIAN SHING HONG INC,LIAN SHING HONG,90012-2367,"(34.0619, -118.2399)",90012
621,IDEL FONSO MENDEZ/TAYDE ROJAS CEREZO,IDEL FONSO MENDEZ/TAYDE ROJAS CEREZO,90063-4035,"(34.0469, -118.1963)",90063
622,LEILA MARKET INC,SLAUSON MINIMARKET,90043-2507,"(33.9888, -118.3262)",90043
623,JOSE ENRIQUE BARRAZA MEDINA,JOSE ENRIQUE BARRAZA MEDINA,90011-1716,"(34.017, -118.2497)",90011
624,FERNANDO C GUERRERO,NUEVO MUNDO MARKET,90017-2138,"(34.0547, -118.2729)",90017
625,SANG CHUL LEE,LAS ANTILLAS MARKET,90023-1318,"(34.0372, -118.2138)",90023
626,RALPHS GROCERY CO,RALPHS #709 RALPHS GROCERY CO,90064-3726,"(34.0256, -118.4327)",90064
627,LA RICE CAKE BAKERY INC,LA RICE CAKE,90029-3216,"(34.0878, -118.3091)",90029
628,RE GROCERY HLP LLC,RE GROCERY,90042-1714,"(34.1209, -118.2054)",90042
629,MARIA T PAUA GUARDADO,MY DAIRY,90001-2534,"(33.9731, -118.2476)",90001
630,12225 SANTA MONICA BLVD INC,7-ELEVEN STORE 39685A,90025-2517,"(34.0398, -118.4648)",90025
631,VIP CONSIGNMENT,VIP CONSIGNMENT,90069-5485,"(34.0845, -118.3717)",90069
632,MARTHA A MAGDALENO,DURANGO MARKET,90061-1421,"(33.9326, -118.2825)",90061
633,VIRGINIA CERVANTES,AGUILAR MARKET,90029-2427,"(34.0908, -118.3022)",90029
634,GELSON'S MARKETS,GELSON'S MARKETS,90028-5618,"(34.1052, -118.3174)",90028
635,LIVONIA GLATT MARKET INC,LIVONIA GLATT MARKET INC,90035-3334,"(34.0552, -118.3864)",90035
636,MAGDALENO CABRERA,MF MINI MARKET # 2,90019-4233,"(34.0485, -118.334)",90019
637,MEJIA'S CORP,MEJIA'S GENERAL STORE,90001-2426,"(33.9715, 33.9715)",90001
638,MJB BEYOND HOME LLC,MJB BEYOND HOME LLC,90012-2363,"(34.0627, -118.24)",90012
639,CARNICERIA LA OAXAQUENA INC,CARNICERIA LA OAXAQUENA,90019-3451,"(34.0473, -118.3213)",90019
640,JAIME NARCISO ENCARNACION,NARCISO'S MINI MART,90059-1246,"(33.9334, -118.239)",90059
641,JOSE LUIS & MARIA GUADALUPE AZANEDO,SAN JUAN MEAT MARKET,90026-5651,"(34.0658, -118.2537)",90026
642,NUNO D & T INC,NUNO D & T INC,90006-4963,"(34.0437, -118.2841)",90006
643,RUPINDER K SEKHON,BEETHOVEN MARKET,90066-2249,"(34.0062, -118.4463)",90066
644,NUMERO UNO ACQUISITIONS LLC,NUMERO UNO MARKET,90011-1128,"(34.0247, -118.2592)",90011
645,SALOMON CHARLEY,CHARLEY'S MINI MARKET & PARTY RENTALS,90007-1152,"(34.0399, -118.299)",90007
646,SEUNG MAN YANG,WEST MARKET,90005-2432,"(34.0577, -118.2998)",90005
647,GELSON'S MARKETS,GELSONS MARKET #394,90067-6501,"(34.0594, -118.4208)",90067
648,RALPHS GROCERY CO,FOOD FOR LESS #362,90027-5614,"(34.0981, -118.3074)",90027
649,SUNG KYU YI/HYE CHA YI,VERNON & HOOPER MARKET,90011-3722,"(34.0038, -118.2521)",90011
650,GUILLERMO FERNANDO CRUZ MATEO,JUICE BAR (LA OAXAQUENA),90038-1808,"(34.0911, -118.3209)",90038
651,ZEFERINO GARCIA / MARIA D JUSTO,MERCADO BENITO JUAREZ,90005-2123,"(34.0577, -118.299)",90005
652,UNITED PRODUCE,UNITED PRODUCE,90003-3418,"(33.9598, -118.2708)",90003
653,JOHN URIBE,EL NAYAR MINI MARKET,90044-3470,"(33.9636, -118.2917)",90044
654,RALPHS GROCERY CO,RALPHS #48,90043-2563,"(33.989, -118.3294)",90043
655,RAJINDER SINGH RAI,CRENSHAW MINI MART,90043-3951,"(33.9814, -118.3308)",90043
656,RALPHS GROCERY CO,RALPHS GROCERY CO #44,90025-1201,"(34.0447, -118.4666)",90025
657,IRENE GOMEZ,LUPITA'S MINI MARKET,90029-2981,"(34.0868, -118.2868)",90029
658,BRIGENE & CO,JK MARKET,90003-1431,"(33.9817, -118.2782)",90003
659,JOSE RAMIREZ,RAMIREZ MARKET,90011-4114,"(33.9965, -118.2601)",90011
660,SKYS GOURMET MARKETPLACE,SKYS GOURMET TACOS,90019-4035,"(34.0486, -118.3539)",90019
661,ZIAD SAAD,LA BODEGA MARKET #3,90018-3031,"(34.0307, -118.3089)",90018
662,FIRST LCH CORP,SUPER DOLLAR #6,90011-1239,"(34.0211, -118.2535)",90011
663,DAILY TUN INC,DAILY TUN INC,90002-2517,"(33.9504, -118.2372)",90002
664,LUCSOL DISCOUNT STORE INC,LUCSOL DISCOUNT STORE INC,90003-3525,"(33.96, -118.2664)",90003
665,SIDNEY WATKINS,KING CARIBBEAN MINI MARKET,90062-2325,"(33.9999, -118.309)",90062
666,NORTHGATE GONZALEZ LLC,NORTHGATE MARKET # 37,90033-4315,"(34.0401, -118.212)",90033
667,RALPHS GROCERY CO,RALPHS GROCERY CO #209,90045-4809,"(33.957, -118.3962)",90045
668,TIN BO CO INC,TIN BO CO,90012-2309,"(34.0632, -118.2378)",90012
669,MENGIS TESFALDET,H V M MARKET | HVM MARKET,90037-3023,"(34.0037, -118.2871)",90037
670,FOOD INDUSTRIES INT'L INC,SEAFOOD RANCH MARKET,90065-3665,"(34.1194, -118.228)",90065
671,GENESIS MARKET INC,GENESIS MARKET INC,90063-1804,"(34.0406, -118.1844)",90063
672,MRS GOOCHS NATURAL FOOD MARKETS INC,WHOLE FOODS MARKET,90066-7032,"(33.9775, -118.4174)",90066
673,JUAN IGNACIO ALVAREZ PASTOR,ANITAS MINI MART,90059-1246,"(33.9326, -118.2388)",90059
674,CHANG CHOI/JI YEON CHOI/SAMUEL LIM/JEANNIE LIM,EL RANCHO GROCERY MARKET,90038-2714,"(34.0882, -118.3266)",90038
675,TAE K/YUNG HI JUNG,JOES MARKET,90034-2002,"(34.0401, -118.3842)",90034
676,MARIA L RODAS VELASCO,MINI MARKET LA BENDICION,90062-2324,"(33.9994, -118.3089)",90062
677,OLGA A XULA DIAZ,ALFARO'S MINI MART,90026-4423,"(34.0709, -118.2505)",90026
678,JOEL BERNAL,MERCADO GARIBALDI,90011-3002,"(34.0073, -118.2565)",90011
679,JOSE HUMBERTO ROBLES,CRYSTAL WATER & ICE,90003-2917,"(33.9635, -118.2743)",90003
680,GEORGE CHACKO,TEITAS MARKET,90037-3218,"(33.999, -118.2739)",90037
681,YOSEPH TESFALIDET,REDONDO MARKET,90016-1308,"(34.0411, -118.3526)",90016
682,YONG KIL KIM,A & A LIQUOR,90044-2568,"(33.9784, -118.3002)",90044
683,MIGUEL BERNAL,EL PRINSIPIO MARKET,90011-1432,"(34.0231, -118.2656)",90011
684,DOUGLAS ENECON MERIDA,MERIDA'S MARKET,90007-1725,"(34.0345, -118.2862)",90007
685,ALFREDO BARTOLO MANRIQUEZ GOMEZ,MANRIQUEZ MINI MARKET,90003-2349,"(33.971, -118.2695)",90003
686,WEST ADAMS PETROLEUM INC,7-ELEVEN STORE 39807A,90007-1533,"(34.0329, -118.2986)",90007
687,KASHMAN INC,7-ELEVEN,90019-4228,"(34.0479, -118.3441)",90019
688,LOVE TO DREAM INC,NEW YORK MARKET & DELI,90003-3845,"(33.9519, -118.2695)",90003
689,NAY PHE,EL MERCADITO MARKET,90033-2037,"(34.0533, -118.1976)",90033
690,YOUNG SUG YOON,D C MART,90015-1807,"(34.0375, -118.2529)",90015
691,SOCORRO TENORIO SANCHEZ,ALONDRA MINI MARKET,90018-4436,"(34.0187, -118.3089)",90018
692,PAULA PEREZ,LA MORENA BAKERY,90033-1823,"(34.0483, -118.2112)",90033
693,SUPER A FOODS INC,SUPER A FOODS,90042-1744,"(34.1204, -118.2015)",90042
694,MICHEL KHALIL,BILLS LIQUOR,90039-1830,"(34.1168, -118.2618)",90039
695,8503 MINI MART INC,MINI MART,90034-2548,"(34.0352, -118.3779)",90034
696,CHAN HUI YIM,PLAZA MARKET,90003-3300,"(33.96, -118.2739)",90003
697,SANDRA PATRICIA VEGA,PANADERIA GUATEMALA,90037-2854,"(34.001, -118.3001)",90037
698,PEKING POULTRY INC,PEKING POULTRY INC,90012-6115,"(34.0606, -118.2391)",90012
699,THE VONS COMPANIES INC,VONS $4021,90045-1126,"(33.9689, -118.4056)",90045
700,JACKSON K. EHAD CORPORATION,HANK'S MINI MARKET,90043-4705,"(33.9749, -118.3296)",90043
701,5003 YORK BLVD INC,SIP-SNACK,90042-1713,"(34.1216, -118.2068)",90042
702,"SK MARKET, INC.",ADVANCE FOOD MARKET,90016-2639,"(34.0324, -118.362)",90016
703,ARTEMISA VAZQUEZ,CASA LATINO XPRESS,90037-3213,"(33.9968, -118.2787)",90037
704,BEACHWOOD MARKET INC,BEACHWOOD MARKET,90068-1927,"(34.1202, -118.3214)",90068
705,DSG & GURNAM ENTERPRISES INC,PALM TREE LIQUOR,90034-6410,"(34.0202, -118.4046)",90034
706,MOK-RAN HWANG,CATALINA LIQUOR ON 8TH,90005-1903,"(34.0576, -118.2958)",90005
707,SOONG JUNG KIM,SUE'S MARKET,90033-2301,"(34.0526, -118.2209)",90033
708,TM VERMONT INC,TAMBULI SEAFOOD MARKET,90004-2116,"(34.0827, -118.2921)",90004
709,RALPHS GROCERY CO,FOOD 4 LESS #370,90032-1662,"(34.0868, -118.1765)",90032
710,LARRY & MARVIN & RONALD LEE,HONG SANG LUNG CO,90012-1711,"(34.0658, -118.2386)",90012
711,KIM & BYEON CORPORATION,BODEGA MARKET,90066-6249,"(33.9918, -118.422)",90066
712,JIKU BARUA,LIVING WATER,90006-2315,"(34.0499, -118.3089)",90006
713,HEDGUIN RENE GARCIA / JUAN JOSE DIAZ-PADILLA,TERMINAL MARKET,90021-1201,"(34.0351, -118.2353)",90021
714,SAMUEL MACIAS NERI,T & H MINI MART,90018-3416,"(34.0255, -118.3146)",90018
715,RALPHS GROCERY CO,FOOD 4 LESS #777,90047-1126,"(33.9891, -118.3115)",90047
716,MOSTAFA AZIM & TULIKA AICH,HOLLYWOOD BAZAAR,90028-4604,"(34.1015, -118.3361)",90028
717,MELIDA P RECINOS MARTINEZ,MELIDA P RECINOS MARTINEZ,90006-1999,"(34.0549, -118.2836)",90006
718,TORREZ ENTERPRISE INC,MI BARRIO MARKET,90033-3502,"(34.0432, -118.2087)",90033
719,EUNICE Y WHANG,GUADALAJARA MARKET,90023-2914,"(34.0238, -118.2034)",90023
720,GUERRERO PRODUCE MARKET INC,GUERRERO PRODUCE MARKET INC,90042-2403,"(34.1196, -118.1977)",90042
721,ABDUL QUODUS,NORWOOD MARKET,90027-6110,"(34.1015, -118.3003)",90027
722,BLANCA PEREZ,RINCON HONDURENO,90018-3930,"(34.0249, -118.3019)",90018
723,LA MAYORDOMIA INC,LA MAYORDOMIA,90003-1163,"(33.9871, -118.2779)",90003
724,MOTHERS NUTRITIONAL CENTER INC,MOTHER'S NUTRITIONAL CENTER,90002-3320,"(33.9439, -118.2541)",90002
725,ESTEBAN HERNANDEZ / ROSANA GOMEZ,ESTEBAN HERNANDEZ / ROSANA GOMEZ,90011-3153,"(34.0081, -118.2565)",90011
726,BRAVO FOODS USA INC.,BRAVO FOODS USA INC.,90006-3007,"(34.053, -118.2791)",90006
727,DAVID RIVAS / BLANCA CHINCHILLA,ODY MARKET,90003-1336,"(33.9849, -118.2695)",90003
728,JAHANGER/SAEED NOVEL,STOP MARKET,90024-2806,"(34.0628, -118.4483)",90024
729,JOHN PIERRE MALATY,LA FAMILY MARKET,90019-3425,"(34.0472, -118.32)",90019
730,SOO CHUL RAH/CHONGHI YI,PICO GARDEN MARKET,90033-4225,"(34.0392, -118.2231)",90033
731,KRISHNA KAUR,PICKFORD MARKET,90019-5817,"(34.0403, -118.339)",90019
732,ONE STOP HALAL INC.,ONE STOP HALAL INC.,90021-1502,"(34.0381, -118.2435)",90021
733,"VILLALOBOS MARKET, INC.",VILLALOBOS MARKET,90029-1210,"(34.0907, -118.3047)",90029
734,THE GOLDEN POPPY MARKET AND CAFE LLC,THE GOLDEN POPPY MARKET AND CAFE,90065-1112,"(34.0955, -118.228)",90065
735,KUMAR AND ASSOCIATES INC,7-ELEVEN STORE 26188G,90006-5800,"(34.0404, -118.3089)",90006
736,HARRY KEIM KWOK,SUNNYS MARKET,90012-1233,"(34.0654, -118.2471)",90012
737,RIDABIU LLC,THE VILLAGE MART & DELI,90032-3630,"(34.0693, -118.1948)",90032
738,EL PUEBLO PRODUCE MARKET INC,EL PUEBLO PRODUCE MARKET,90062-2320,"(34.0009, -118.3089)",90062
739,PATRICIA VEGA SOLIS,UN DOLLAR Y NOVEDADES LA PATITA,90057-4202,"(34.0535, -118.2748)",90057
740,HARASTA GROUP INC,HARASTA GROUP INC,90064-2221,"(34.0423, -118.4247)",90064
741,JESUS LOPEZ-AGUILAR,LA SOLEDAD BAKERY,90057-5008,"(34.0577, -118.2803)",90057
742,PAS GROUP INC,JASON'S ON BROADWAY,90015-1610,"(34.0423, -118.256)",90015
743,MIN BONG LEE,SUNNY MARKET,90047-1117,"(33.9891, -118.3045)",90047
744,KING EXPRESS WASH INC,KING EXPRESS WASH INC,90062-1630,"(34.0106, -118.3073)",90062
745,BODEGA LATINA CORP,BODEGA LATINA CORP,90042-2537,"(34.1193, -118.1963)",90042
746,NORTHGATE GONZALEZ LLC,NORTGATE MARKET #41,90230-5896,"(33.9932, -118.4153)",90230
747,LUIS MORENO/CAMERINA MORENO,CORONA MARKET,90011-1436,"(34.0218, -118.2664)",90011
748,BRIAN JEONGJAE YOO,MIKES PRODUCE MARKET,90005-1520,"(34.0583, -118.2916)",90005
749,H & N GIFT SHOP LLC,H & N GIFT SHOP LLC,90028-6209,"(34.1019, -118.3315)",90028
750,WATTS LABOR COMMUNITY ACTION COMMITTEE /C,WATTS LABOR COMMUNITY ACTION COMMITTEE /C,90059-1022,"(33.9378, -118.2541)",90059
751,MUSSIE MEBRAHTU MICHAEL/ISSAYAS MEBRAHTU MICHAEL,TEDDY'S MARKET,90037-3533,"(33.9922, -118.2914)",90037
752,VIVIAN UM,THE CORNER STORE ARTS DISTRICT,90013-1814,"(34.0452, -118.2363)",90013
753,RAFAEL AVILA,FIGUEROA MINIMARKET,90003-1061,"(33.9886, -118.2826)",90003
754,SAINSBURY MARKET INC,SAINSBURY MARKET,90025-1217,"(34.0434, -118.4683)",90025
755,ONWARD FRANCHISEE GROUP 37150 INC,7-ELEVEN STORE 37150B,90059-2325,"(33.9308, -118.2648)",90059
756,ARBAT ENTERPRISES INC,ARBAT ENTERPRISES INC,90027-6103,"(34.1017, -118.2983)",90027
757,KWOCK J WONG,KWOCK J WONG,90006-4521,"(34.044, -118.2915)",90006
758,EVALIA REYES,REYES HARDWARE,90059-1639,"(33.932, -118.2546)",90059
759,CHRISTIAN JAVIER LUNA,LUNA'S MARKET #2,90058-2008,"(34.0031, -118.2401)",90058
760,THE VONS COMPANIES INC,PAVILIONS #2229 | VONS 2229,90038-3713,"(34.0844, -118.3266)",90038
761,RALPHS GROCERY CO,RALPHS #22,90015-1640,"(34.0454, -118.2607)",90015
762,YUMMY FOODS LLC,YUMMY.COM,90035-4718,"(34.0542, -118.4013)",90035
763,LA CEIBA INC,LAGUNA MARKET,90057-3121,"(34.0596, -118.2751)",90057
764,LIONSWAY GROUP INC,ROYALTY MARKET,90003-1637,"(33.9833, -118.2695)",90003
765,ELSA E VANEGAS,VANEGAS MARKET,90063-2810,"(34.0374, -118.1956)",90063
766,JOSE GREGORIO TERMINIO,JOSE GREGORIO TERMINIO,90006-3915,"(34.0472, -118.297)",90006
767,KPL PARTNERS INC,G AND J MARKET,90062-1434,"(34.0108, -118.3164)",90062
768,PISCES RETAIL INC,MAYAN MARKET,90044-2723,"(33.9838, -118.3002)",90044
769,"WALSUNG, INC.",HWANG HAE DOE RESTAURANT,90004-2600,"(34.0788, -118.3091)",90004
770,NRS FAMILY CORP,NRS FAMILY CORP,90020-3407,"(34.0691, -118.3057)",90020
771,TUAN ANH NGUYEN,VK AGUA,90023-2928,"(34.0219, -118.2042)",90023
772,RALPHS GROCERY CO,FOOD 4 LESS #363,90033-3634,"(34.0413, -118.2045)",90033
773,SUSUNDA CORP,IM MARKET,90046-7110,"(34.0837, -118.3623)",90046
774,SMART & FINAL STORES LLC,SMART/FINAL #345 | SMART/FINAL IRIS CO DIV #345,90033-4306,"(34.0411, -118.2129)",90033
775,MOTHERS NUTRITIONAL CENTER INC,MOTHERS NUTRITIONAL CENTER,90016-4849,"(34.0209, -118.3351)",90016
776,GELACIO BARRALES,ANTHONY'S MINI MARKET,90011-5136,"(33.9915, -118.2651)",90011
777,CARMEN C/AMADOR G HERNANDEZ,LUZON FOOD MART,90041-3215,"(34.126, -118.2189)",90041
778,MOHAMMED DANIUL ISLAM,FIESTA MARKET,90032-3925,"(34.0697, -118.1749)",90032
